dep;jour;n_dose1;n_complet;n_cum_dose1;n_cum_complet;couv_dose1;couv_complet
01;2021-03-08;670;627;30030;13676;4.6;2.1
01;2021-03-09;1341;619;31371;14295;4.8;2.2
01;2021-03-10;1163;560;32534;14855;5.0;2.3
01;2021-03-11;1686;646;34220;15501;5.2;2.4
01;2021-03-12;2008;648;36228;16149;5.5;2.5
01;2021-03-13;1502;102;37730;16251;5.7;2.5
01;2021-03-14;134;59;37864;16310;5.8;2.5
01;2021-03-15;1155;407;39019;16717;5.9;2.5
01;2021-03-16;1014;566;40033;17283;6.1;2.6
01;2021-03-17;840;347;40873;17630;6.2;2.7
01;2021-03-18;1295;475;42168;18105;6.4;2.8
01;2021-03-19;1750;549;43918;18654;6.7;2.8
01;2021-03-20;1447;137;45365;18791;6.9;2.9
01;2021-03-21;99;11;45464;18802;6.9;2.9
01;2021-03-22;1576;494;47040;19296;7.2;2.9
01;2021-03-23;2197;655;49237;19951;7.5;3.0
01;2021-03-24;1616;421;50853;20372;7.7;3.1
01;2021-03-25;2911;636;53764;21008;8.2;3.2
01;2021-03-26;2871;617;56635;21625;8.6;3.3
01;2021-03-27;1310;164;57945;21789;8.8;3.3
01;2021-03-28;22;1;57967;21790;8.8;3.3
01;2021-03-29;1930;548;59897;22338;9.1;3.4
01;2021-03-30;2515;780;62412;23118;9.5;3.5
01;2021-03-31;1869;630;64281;23748;9.8;3.6
01;2021-04-01;2569;860;66850;24608;10.2;3.7
01;2021-04-02;2818;733;69668;25341;10.6;3.9
01;2021-04-03;1256;137;70924;25478;10.8;3.9
01;2021-04-04;3;1;70927;25479;10.8;3.9
01;2021-04-05;1261;67;72188;25546;11.0;3.9
01;2021-04-06;2825;801;75013;26347;11.4;4.0
01;2021-04-07;2741;710;77754;27057;11.8;4.1
01;2021-04-08;3245;1007;80999;28064;12.3;4.3
01;2021-04-09;3983;1336;84982;29400;12.9;4.5
01;2021-04-10;1823;305;86805;29705;13.2;4.5
01;2021-04-11;45;22;86850;29727;13.2;4.5
01;2021-04-12;2716;1229;89566;30956;13.6;4.7
01;2021-04-13;2945;1331;92511;32287;14.1;4.9
01;2021-04-14;3126;1083;95637;33370;14.6;5.1
01;2021-04-15;3074;1484;98711;34854;15.0;5.3
01;2021-04-16;2861;1585;101572;36439;15.5;5.5
01;2021-04-17;1654;682;103226;37121;15.7;5.7
01;2021-04-18;13;0;103239;37121;15.7;5.7
01;2021-04-19;2040;1524;105279;38645;16.0;5.9
01;2021-04-20;2668;1574;107947;40219;16.4;6.1
01;2021-04-21;2690;1352;110637;41571;16.8;6.3
01;2021-04-22;2835;1531;113472;43102;17.3;6.6
01;2021-04-23;2765;1534;116237;44636;17.7;6.8
01;2021-04-24;1448;656;117685;45292;17.9;6.9
01;2021-04-25;9;0;117694;45292;17.9;6.9
01;2021-04-26;1970;1731;119664;47023;18.2;7.2
01;2021-04-27;2572;1559;122236;48582;18.6;7.4
01;2021-04-28;2500;1577;124736;50159;19.0;7.6
01;2021-04-29;2716;1775;127452;51934;19.4;7.9
01;2021-04-30;2982;2252;130434;54186;19.9;8.2
01;2021-05-01;1473;859;131907;55045;20.1;8.4
01;2021-05-02;545;76;132452;55121;20.2;8.4
01;2021-05-03;2296;2482;134748;57603;20.5;8.8
01;2021-05-04;2539;2643;137287;60246;20.9;9.2
01;2021-05-05;2527;2503;139814;62749;21.3;9.6
01;2021-05-06;2995;2530;142809;65279;21.7;9.9
01;2021-05-07;3215;2779;146024;68058;22.2;10.4
01;2021-05-08;1645;922;147669;68980;22.5;10.5
01;2021-05-09;1022;162;148691;69142;22.6;10.5
01;2021-05-10;2500;3071;151191;72213;23.0;11.0
01;2021-05-11;3580;3066;154771;75279;23.6;11.5
01;2021-05-12;3652;3006;158423;78285;24.1;11.9
01;2021-05-13;4089;1503;162512;79788;24.7;12.1
01;2021-05-14;4272;2347;166784;82135;25.4;12.5
01;2021-05-15;3159;1435;169943;83570;25.9;12.7
01;2021-05-16;1413;150;171356;83720;26.1;12.7
01;2021-05-17;3446;2471;174802;86191;26.6;13.1
01;2021-05-18;4075;1959;178877;88150;27.2;13.4
01;2021-05-19;3974;1904;182851;90054;27.8;13.7
01;2021-05-20;4526;2017;187377;92071;28.5;14.0
01;2021-05-21;4621;2198;191998;94269;29.2;14.3
01;2021-05-22;3368;955;195366;95224;29.7;14.5
01;2021-05-23;834;84;196200;95308;29.9;14.5
01;2021-05-24;2765;500;198965;95808;30.3;14.6
01;2021-05-25;3560;2430;202525;98238;30.8;15.0
01;2021-05-26;3569;2252;206094;100490;31.4;15.3
01;2021-05-27;3853;2097;209947;102587;32.0;15.6
01;2021-05-28;3665;2638;213612;105225;32.5;16.0
01;2021-05-29;3055;1305;216667;106530;33.0;16.2
01;2021-05-30;613;88;217280;106618;33.1;16.2
01;2021-05-31;2407;2521;219687;109139;33.4;16.6
01;2021-06-01;2771;2591;222458;111730;33.9;17.0
01;2021-06-02;2883;2203;225341;113933;34.3;17.3
01;2021-06-03;3366;2441;228707;116374;34.8;17.7
01;2021-06-04;4501;3373;233208;119747;35.5;18.2
01;2021-06-05;3252;1732;236460;121479;36.0;18.5
01;2021-06-06;670;78;237130;121557;36.1;18.5
01;2021-06-07;3388;2873;240518;124430;36.6;18.9
01;2021-06-08;3649;2718;244167;127148;37.2;19.4
01;2021-06-09;2949;2637;247116;129785;37.6;19.8
01;2021-06-10;2767;2043;249883;131828;38.0;20.1
01;2021-06-11;3072;3367;252955;135195;38.5;20.6
01;2021-06-12;2402;2197;255357;137392;38.9;20.9
01;2021-06-13;201;479;255558;137871;38.9;21.0
01;2021-06-14;2119;3162;257677;141033;39.2;21.5
01;2021-06-15;2005;3368;259682;144401;39.5;22.0
01;2021-06-16;2175;3287;261857;147688;39.9;22.5
01;2021-06-17;1959;3174;263816;150862;40.2;23.0
01;2021-06-18;2635;4163;266451;155025;40.6;23.6
01;2021-06-19;1727;2556;268178;157581;40.8;24.0
01;2021-06-20;159;498;268337;158079;40.8;24.1
01;2021-06-21;1798;3704;270135;161783;41.1;24.6
01;2021-06-22;1552;4002;271687;165785;41.4;25.2
01;2021-06-23;1583;3754;273270;169539;41.6;25.8
01;2021-06-24;1473;3565;274743;173104;41.8;26.3
01;2021-06-25;1889;4566;276632;177670;42.1;27.0
01;2021-06-26;1209;2946;277841;180616;42.3;27.5
01;2021-06-27;171;339;278012;180955;42.3;27.5
01;2021-06-28;1382;4024;279394;184979;42.5;28.2
01;2021-06-29;1409;3852;280803;188831;42.7;28.7
01;2021-06-30;1381;4157;282184;192988;43.0;29.4
01;2021-07-01;1431;4088;283615;197076;43.2;30.0
01;2021-07-02;1588;4987;285203;202063;43.4;30.8
01;2021-07-03;858;3374;286061;205437;43.5;31.3
01;2021-07-04;105;499;286166;205936;43.6;31.3
01;2021-07-05;1486;4083;287652;210019;43.8;32.0
01;2021-07-06;1105;4275;288757;214294;44.0;32.6
01;2021-07-07;1757;3697;290514;217991;44.2;33.2
01;2021-07-08;1474;3677;291988;221668;44.4;33.7
01;2021-07-09;1885;4365;293873;226033;44.7;34.4
01;2021-07-10;1119;3438;294992;229471;44.9;34.9
01;2021-07-11;105;418;295097;229889;44.9;35.0
01;2021-07-12;1422;3844;296519;233733;45.1;35.6
01;2021-07-13;2058;4116;298577;237849;45.4;36.2
01;2021-07-14;148;179;298725;238028;45.5;36.2
01;2021-07-15;3104;4192;301829;242220;45.9;36.9
01;2021-07-16;3745;4838;305574;247058;46.5;37.6
01;2021-07-17;2203;3045;307777;250103;46.8;38.1
01;2021-07-18;290;551;308067;250654;46.9;38.2
01;2021-07-19;2915;3871;310982;254525;47.3;38.7
01;2021-07-20;3296;3694;314278;258219;47.8;39.3
01;2021-07-21;3935;3569;318213;261788;48.4;39.8
01;2021-07-22;4219;3496;322432;265284;49.1;40.4
01;2021-07-23;3942;4221;326374;269505;49.7;41.0
01;2021-07-24;2731;2713;329105;272218;50.1;41.4
01;2021-07-25;61;60;329166;272278;50.1;41.4
01;2021-07-26;3346;3240;332512;275518;50.6;41.9
01;2021-07-27;4105;2793;336617;278311;51.2;42.4
01;2021-07-28;3989;2652;340606;280963;51.8;42.8
01;2021-07-29;4697;2438;345303;283401;52.6;43.1
01;2021-07-30;4458;3432;349761;286833;53.2;43.7
01;2021-07-31;3641;1773;353402;288606;53.8;43.9
01;2021-08-01;397;76;353799;288682;53.9;43.9
01;2021-08-02;3078;2455;356877;291137;54.3;44.3
01;2021-08-03;3069;2455;359946;293592;54.8;44.7
01;2021-08-04;2543;1738;362489;295330;55.2;45.0
01;2021-08-05;2249;2365;364738;297695;55.5;45.3
01;2021-08-06;2750;3114;367488;300809;55.9;45.8
01;2021-08-07;2072;1837;369560;302646;56.3;46.1
01;2021-08-08;248;257;369808;302903;56.3;46.1
01;2021-08-09;1136;2633;370944;305536;56.5;46.5
01;2021-08-10;1445;2412;372389;307948;56.7;46.9
01;2021-08-11;1472;2596;373861;310544;56.9;47.3
01;2021-08-12;1626;2829;375487;313373;57.2;47.7
01;2021-08-13;1814;2728;377301;316101;57.4;48.1
01;2021-08-14;1392;2233;378693;318334;57.6;48.5
01;2021-08-15;18;21;378711;318355;57.6;48.5
01;2021-08-16;983;3013;379694;321368;57.8;48.9
01;2021-08-17;1355;2761;381049;324129;58.0;49.3
01;2021-08-18;1257;2907;382306;327036;58.2;49.8
01;2021-08-19;1301;2425;383607;329461;58.4;50.1
01;2021-08-20;1458;3951;385065;333412;58.6;50.8
01;2021-08-21;883;2848;385948;336260;58.7;51.2
01;2021-08-22;19;20;385967;336280;58.8;51.2
01;2021-08-23;1116;3020;387083;339300;58.9;51.6
01;2021-08-24;1230;3153;388313;342453;59.1;52.1
01;2021-08-25;1124;2993;389437;345446;59.3;52.6
01;2021-08-26;1649;2740;391086;348186;59.5;53.0
01;2021-08-27;1641;3652;392727;351838;59.8;53.6
01;2021-08-28;1044;2591;393771;354429;59.9;54.0
01;2021-08-29;16;31;393787;354460;59.9;54.0
01;2021-08-30;1187;2708;394974;357168;60.1;54.4
01;2021-08-31;1093;1896;396067;359064;60.3;54.7
01;2021-09-01;924;1697;396991;360761;60.4;54.9
01;2021-09-02;805;1523;397796;362284;60.6;55.1
01;2021-09-03;1130;2198;398926;364482;60.7;55.5
01;2021-09-04;796;1898;399722;366380;60.8;55.8
01;2021-09-05;97;61;399819;366441;60.9;55.8
01;2021-09-06;659;1093;400478;367534;61.0;55.9
01;2021-09-07;578;1021;401056;368555;61.0;56.1
01;2021-09-08;815;1391;401871;369946;61.2;56.3
01;2021-09-09;774;1131;402645;371077;61.3;56.5
01;2021-09-10;1047;1556;403692;372633;61.4;56.7
01;2021-09-11;736;1432;404428;374065;61.6;56.9
01;2021-09-12;25;38;404453;374103;61.6;56.9
01;2021-09-13;578;998;405031;375101;61.7;57.1
01;2021-09-14;621;992;405652;376093;61.7;57.2
01;2021-09-15;724;1447;406376;377540;61.9;57.5
01;2021-09-16;491;922;406867;378462;61.9;57.6
01;2021-09-17;761;1394;407628;379856;62.0;57.8
01;2021-09-18;376;1205;408004;381061;62.1;58.0
01;2021-09-19;10;10;408014;381071;62.1;58.0
01;2021-09-20;380;637;408394;381708;62.2;58.1
01;2021-09-21;387;702;408781;382410;62.2;58.2
01;2021-09-22;347;899;409128;383309;62.3;58.3
01;2021-09-23;300;658;409428;383967;62.3;58.4
01;2021-09-24;402;945;409830;384912;62.4;58.6
01;2021-09-25;307;955;410137;385867;62.4;58.7
01;2021-09-26;2;24;410139;385891;62.4;58.7
01;2021-09-27;174;557;410313;386448;62.5;58.8
01;2021-09-28;310;1193;410623;387641;62.5;59.0
01;2021-09-29;464;1282;411087;388923;62.6;59.2
01;2021-09-30;347;831;411434;389754;62.6;59.3
01;2021-10-01;464;1076;411898;390830;62.7;59.5
01;2021-10-02;396;1309;412294;392139;62.8;59.7
01;2021-10-03;0;0;412294;392139;62.8;59.7
01;2021-10-04;195;512;412489;392651;62.8;59.8
01;2021-10-05;205;536;412694;393187;62.8;59.8
01;2021-10-06;341;746;413035;393933;62.9;60.0
01;2021-10-07;201;491;413236;394424;62.9;60.0
01;2021-10-08;335;720;413571;395144;63.0;60.1
01;2021-10-09;348;697;413919;395841;63.0;60.3
01;2021-10-10;8;18;413927;395859;63.0;60.3
01;2021-10-11;178;403;414105;396262;63.0;60.3
01;2021-10-12;153;327;414258;396589;63.1;60.4
01;2021-10-13;346;508;414604;397097;63.1;60.4
01;2021-10-14;133;507;414737;397604;63.1;60.5
01;2021-10-15;312;477;415049;398081;63.2;60.6
01;2021-10-16;249;413;415298;398494;63.2;60.7
01;2021-10-17;4;15;415302;398509;63.2;60.7
02;2020-12-27;0;0;0;0;0.0;0.0
02;2020-12-28;0;0;0;0;0.0;0.0
02;2020-12-29;0;0;0;0;0.0;0.0
02;2020-12-30;0;0;0;0;0.0;0.0
02;2020-12-31;0;0;0;0;0.0;0.0
02;2021-01-01;0;0;0;0;0.0;0.0
02;2021-01-02;0;0;0;0;0.0;0.0
02;2021-01-03;0;0;0;0;0.0;0.0
02;2021-01-04;0;0;0;0;0.0;0.0
02;2021-01-05;0;0;0;0;0.0;0.0
02;2021-01-06;22;0;22;0;0.0;0.0
02;2021-01-07;261;1;283;1;0.1;0.0
02;2021-01-08;489;3;772;4;0.1;0.0
02;2021-01-09;75;0;847;4;0.2;0.0
02;2021-01-10;49;0;896;4;0.2;0.0
02;2021-01-11;267;0;1163;4;0.2;0.0
02;2021-01-12;354;1;1517;5;0.3;0.0
02;2021-01-13;469;4;1986;9;0.4;0.0
02;2021-01-14;652;11;2638;20;0.5;0.0
02;2021-01-15;630;8;3268;28;0.6;0.0
02;2021-01-16;333;5;3601;33;0.7;0.0
02;2021-01-17;62;0;3663;33;0.7;0.0
02;2021-01-18;811;10;4474;43;0.9;0.0
02;2021-01-19;941;7;5415;50;1.0;0.0
02;2021-01-20;1431;5;6846;55;1.3;0.0
02;2021-01-21;2605;13;9451;68;1.8;0.0
02;2021-01-22;1420;5;10871;73;2.1;0.0
02;2021-01-23;290;2;11161;75;2.1;0.0
02;2021-01-24;67;0;11228;75;2.1;0.0
02;2021-01-25;432;10;11660;85;2.2;0.0
02;2021-01-26;704;17;12364;102;2.4;0.0
02;2021-01-27;162;3;12526;105;2.4;0.0
02;2021-01-28;69;246;12595;351;2.4;0.1
02;2021-01-29;119;418;12714;769;2.4;0.1
02;2021-01-30;4;14;12718;783;2.4;0.1
02;2021-01-31;0;10;12718;793;2.4;0.2
02;2021-02-01;11;211;12729;1004;2.4;0.2
02;2021-02-02;45;329;12774;1333;2.4;0.3
02;2021-02-03;124;338;12898;1671;2.5;0.3
02;2021-02-04;226;357;13124;2028;2.5;0.4
02;2021-02-05;179;413;13303;2441;2.5;0.5
02;2021-02-06;69;176;13372;2617;2.5;0.5
02;2021-02-07;9;0;13381;2617;2.5;0.5
02;2021-02-08;306;433;13687;3050;2.6;0.6
02;2021-02-09;322;680;14009;3730;2.7;0.7
02;2021-02-10;485;1042;14494;4772;2.8;0.9
02;2021-02-11;937;1860;15431;6632;2.9;1.3
02;2021-02-12;885;1119;16316;7751;3.1;1.5
02;2021-02-13;290;129;16606;7880;3.2;1.5
02;2021-02-14;1;5;16607;7885;3.2;1.5
02;2021-02-15;344;681;16951;8566;3.2;1.6
02;2021-02-16;414;561;17365;9127;3.3;1.7
02;2021-02-17;499;631;17864;9758;3.4;1.9
02;2021-02-18;507;446;18371;10204;3.5;1.9
02;2021-02-19;444;569;18815;10773;3.6;2.0
02;2021-02-20;372;234;19187;11007;3.6;2.1
02;2021-02-21;39;17;19226;11024;3.7;2.1
02;2021-02-22;377;317;19603;11341;3.7;2.2
02;2021-02-23;432;362;20035;11703;3.8;2.2
02;2021-02-24;600;146;20635;11849;3.9;2.3
02;2021-02-25;870;137;21505;11986;4.1;2.3
02;2021-02-26;808;76;22313;12062;4.2;2.3
02;2021-02-27;444;16;22757;12078;4.3;2.3
02;2021-02-28;55;2;22812;12080;4.3;2.3
02;2021-03-01;638;26;23450;12106;4.5;2.3
02;2021-03-02;1031;130;24481;12236;4.7;2.3
02;2021-03-03;754;204;25235;12440;4.8;2.4
02;2021-03-04;1161;658;26396;13098;5.0;2.5
02;2021-03-05;1050;511;27446;13609;5.2;2.6
02;2021-03-06;2141;102;29587;13711;5.6;2.6
02;2021-03-07;1504;55;31091;13766;5.9;2.6
02;2021-03-08;574;371;31665;14137;6.0;2.7
02;2021-03-09;997;406;32662;14543;6.2;2.8
02;2021-03-10;896;476;33558;15019;6.4;2.9
02;2021-03-11;1295;392;34853;15411;6.6;2.9
02;2021-03-12;1706;419;36559;15830;6.9;3.0
02;2021-03-13;2592;251;39151;16081;7.4;3.1
02;2021-03-14;1458;45;40609;16126;7.7;3.1
02;2021-03-15;612;457;41221;16583;7.8;3.2
02;2021-03-16;862;407;42083;16990;8.0;3.2
02;2021-03-17;759;456;42842;17446;8.1;3.3
02;2021-03-18;610;624;43452;18070;8.3;3.4
02;2021-03-19;1171;304;44623;18374;8.5;3.5
02;2021-03-20;2430;163;47053;18537;8.9;3.5
02;2021-03-21;1488;84;48541;18621;9.2;3.5
02;2021-03-22;762;497;49303;19118;9.4;3.6
02;2021-03-23;1195;552;50498;19670;9.6;3.7
02;2021-03-24;1582;506;52080;20176;9.9;3.8
02;2021-03-25;1694;599;53774;20775;10.2;3.9
02;2021-03-26;2411;499;56185;21274;10.7;4.0
02;2021-03-27;2494;141;58679;21415;11.2;4.1
02;2021-03-28;638;15;59317;21430;11.3;4.1
02;2021-03-29;1038;861;60355;22291;11.5;4.2
02;2021-03-30;1553;846;61908;23137;11.8;4.4
02;2021-03-31;1298;717;63206;23854;12.0;4.5
02;2021-04-01;1290;864;64496;24718;12.3;4.7
02;2021-04-02;1183;1231;65679;25949;12.5;4.9
02;2021-04-03;2644;853;68323;26802;13.0;5.1
02;2021-04-04;727;240;69050;27042;13.1;5.1
02;2021-04-05;1509;134;70559;27176;13.4;5.2
02;2021-04-06;1539;859;72098;28035;13.7;5.3
02;2021-04-07;1872;781;73970;28816;14.1;5.5
02;2021-04-08;1919;1111;75889;29927;14.4;5.7
02;2021-04-09;2432;1099;78321;31026;14.9;5.9
02;2021-04-10;2430;1215;80751;32241;15.4;6.1
02;2021-04-11;475;418;81226;32659;15.4;6.2
02;2021-04-12;1822;636;83048;33295;15.8;6.3
02;2021-04-13;1601;928;84649;34223;16.1;6.5
02;2021-04-14;2583;979;87232;35202;16.6;6.7
02;2021-04-15;2495;782;89727;35984;17.1;6.8
02;2021-04-16;2439;1132;92166;37116;17.5;7.1
02;2021-04-17;1890;2148;94056;39264;17.9;7.5
02;2021-04-18;270;814;94326;40078;17.9;7.6
02;2021-04-19;1158;636;95484;40714;18.2;7.7
02;2021-04-20;1674;767;97158;41481;18.5;7.9
02;2021-04-21;1550;996;98708;42477;18.8;8.1
02;2021-04-22;1749;709;100457;43186;19.1;8.2
02;2021-04-23;1930;1416;102387;44602;19.5;8.5
02;2021-04-24;1714;1646;104101;46248;19.8;8.8
02;2021-04-25;462;235;104563;46483;19.9;8.8
02;2021-04-26;1339;564;105902;47047;20.1;8.9
02;2021-04-27;1627;1098;107529;48145;20.4;9.2
02;2021-04-28;1592;1440;109121;49585;20.7;9.4
02;2021-04-29;1889;1184;111010;50769;21.1;9.7
02;2021-04-30;2716;1661;113726;52430;21.6;10.0
02;2021-05-01;1991;1235;115717;53665;22.0;10.2
02;2021-05-02;1982;424;117699;54089;22.4;10.3
02;2021-05-03;2224;987;119923;55076;22.8;10.5
02;2021-05-04;1522;1317;121445;56393;23.1;10.7
02;2021-05-05;2327;1844;123772;58237;23.5;11.1
02;2021-05-06;2122;1739;125894;59976;23.9;11.4
02;2021-05-07;2357;2184;128251;62160;24.4;11.8
02;2021-05-08;2917;951;131168;63111;24.9;12.0
02;2021-05-09;1823;424;132991;63535;25.3;12.1
02;2021-05-10;2375;1484;135366;65019;25.7;12.4
02;2021-05-11;2878;1579;138244;66598;26.3;12.7
02;2021-05-12;2675;1628;140919;68226;26.8;13.0
02;2021-05-13;2990;1039;143909;69265;27.4;13.2
02;2021-05-14;3381;1209;147290;70474;28.0;13.4
02;2021-05-15;4374;1086;151664;71560;28.8;13.6
02;2021-05-16;2795;213;154459;71773;29.4;13.6
02;2021-05-17;2147;665;156606;72438;29.8;13.8
02;2021-05-18;2634;979;159240;73417;30.3;14.0
02;2021-05-19;2852;1000;162092;74417;30.8;14.1
02;2021-05-20;3553;1234;165645;75651;31.5;14.4
02;2021-05-21;3818;1075;169463;76726;32.2;14.6
02;2021-05-22;5845;970;175308;77696;33.3;14.8
02;2021-05-23;2658;240;177966;77936;33.8;14.8
02;2021-05-24;3541;544;181507;78480;34.5;14.9
02;2021-05-25;2257;1164;183764;79644;34.9;15.1
02;2021-05-26;3079;1498;186843;81142;35.5;15.4
02;2021-05-27;3649;1493;190492;82635;36.2;15.7
02;2021-05-28;3515;1586;194007;84221;36.9;16.0
02;2021-05-29;4078;1573;198085;85794;37.7;16.3
02;2021-05-30;1449;187;199534;85981;37.9;16.3
02;2021-05-31;2575;1197;202109;87178;38.4;16.6
02;2021-06-01;2870;1870;204979;89048;39.0;16.9
02;2021-06-02;3159;1656;208138;90704;39.6;17.2
02;2021-06-03;2854;1841;210992;92545;40.1;17.6
02;2021-06-04;3142;2063;214134;94608;40.7;18.0
02;2021-06-05;3441;1736;217575;96344;41.4;18.3
02;2021-06-06;1736;259;219311;96603;41.7;18.4
02;2021-06-07;1613;1501;220924;98104;42.0;18.6
02;2021-06-08;2061;1848;222985;99952;42.4;19.0
02;2021-06-09;2057;1653;225042;101605;42.8;19.3
02;2021-06-10;2011;1843;227053;103448;43.2;19.7
02;2021-06-11;2194;3073;229247;106521;43.6;20.2
02;2021-06-12;2310;2598;231557;109119;44.0;20.7
02;2021-06-13;683;1387;232240;110506;44.1;21.0
02;2021-06-14;1049;2392;233289;112898;44.3;21.5
02;2021-06-15;1517;2462;234806;115360;44.6;21.9
02;2021-06-16;1534;2749;236340;118109;44.9;22.5
02;2021-06-17;1782;2860;238122;120969;45.3;23.0
02;2021-06-18;2312;3573;240434;124542;45.7;23.7
02;2021-06-19;1841;3824;242275;128366;46.1;24.4
02;2021-06-20;646;1524;242921;129890;46.2;24.7
02;2021-06-21;806;3190;243727;133080;46.3;25.3
02;2021-06-22;1155;3668;244882;136748;46.6;26.0
02;2021-06-23;1226;3589;246108;140337;46.8;26.7
02;2021-06-24;1327;3150;247435;143487;47.0;27.3
02;2021-06-25;1399;4545;248834;148032;47.3;28.1
02;2021-06-26;1345;4229;250179;152261;47.6;28.9
02;2021-06-27;600;2333;250779;154594;47.7;29.4
02;2021-06-28;877;3021;251656;157615;47.8;30.0
02;2021-06-29;919;2929;252575;160544;48.0;30.5
02;2021-06-30;1510;3162;254085;163706;48.3;31.1
02;2021-07-01;1193;3592;255278;167298;48.5;31.8
02;2021-07-02;1358;5136;256636;172434;48.8;32.8
02;2021-07-03;999;5989;257635;178423;49.0;33.9
02;2021-07-04;509;2370;258144;180793;49.1;34.4
02;2021-07-05;661;3937;258805;184730;49.2;35.1
02;2021-07-06;675;3045;259480;187775;49.3;35.7
02;2021-07-07;1321;3726;260801;191501;49.6;36.4
02;2021-07-08;1394;3871;262195;195372;49.8;37.1
02;2021-07-09;1283;4221;263478;199593;50.1;37.9
02;2021-07-10;1333;4607;264811;204200;50.3;38.8
02;2021-07-11;480;1967;265291;206167;50.4;39.2
02;2021-07-12;1417;3732;266708;209899;50.7;39.9
02;2021-07-13;2065;3662;268773;213561;51.1;40.6
02;2021-07-14;1753;1599;270526;215160;51.4;40.9
02;2021-07-15;2727;3563;273253;218723;51.9;41.6
02;2021-07-16;3164;4219;276417;222942;52.5;42.4
02;2021-07-17;3560;4230;279977;227172;53.2;43.2
02;2021-07-18;2037;1617;282014;228789;53.6;43.5
02;2021-07-19;3440;3038;285454;231827;54.3;44.1
