Week,Age_group,Tests_num,Not_recovered_at_least_2_doses,Not_recovered_partially_vaccinated,Not_recovered_not_vaccinated,Cases_among_recoverd_with_vacc,Cases_among_recovered_without_vacc
2021-09-26 - 2021-10-02,40-49,84425,1512.0,68.0,776.0,21.0,55.0
2021-09-26 - 2021-10-02,50-59,65579,674.0,35.0,427.0,9.0,28.0
2021-09-26 - 2021-10-02,60-69,44785,408.0,13.0,224.0,<5,8.0
2021-09-26 - 2021-10-02,70-79,23128,203.0,7.0,117.0,<5,<5
2021-09-26 - 2021-10-02,80+,17758,134.0,5.0,85.0,<5,<5
2021-10-03 - 2021-10-09,0-19,266046,561.0,209.0,7865.0,11.0,132.0
2021-10-03 - 2021-10-09,20-29,110061,1106.0,94.0,824.0,27.0,93.0
2021-10-03 - 2021-10-09,30-39,99673,1159.0,99.0,798.0,11.0,64.0
2021-10-03 - 2021-10-09,40-49,81929,824.0,57.0,498.0,13.0,37.0
2021-10-03 - 2021-10-09,50-59,56635,452.0,21.0,293.0,7.0,20.0
2021-10-03 - 2021-10-09,60-69,40556,258.0,10.0,159.0,5.0,7.0
2021-10-03 - 2021-10-09,70-79,22704,134.0,<5,81.0,<5,<5
2021-10-03 - 2021-10-09,80+,17165,71.0,<5,54.0,0.0,<5
2021-10-10 - 2021-10-16,0-19,267038,293.0,135.0,6189.0,<5,111.0
2021-10-10 - 2021-10-16,20-29,87640,539.0,80.0,426.0,8.0,59.0
2021-10-10 - 2021-10-16,30-39,89794,678.0,65.0,483.0,12.0,31.0
2021-10-10 - 2021-10-16,40-49,77771,510.0,46.0,340.0,7.0,23.0
2021-10-10 - 2021-10-16,50-59,54047,254.0,19.0,170.0,6.0,6.0
2021-10-10 - 2021-10-16,60-69,39063,167.0,12.0,116.0,<5,<5
2021-10-10 - 2021-10-16,70-79,21943,70.0,<5,55.0,<5,<5
2021-10-10 - 2021-10-16,80+,14583,43.0,<5,39.0,<5,0.0
2021-10-17 - 2021-10-23,0-19,223398,193.0,64.0,4123.0,7.0,82.0
2021-10-17 - 2021-10-23,20-29,84276,309.0,32.0,288.0,<5,22.0
2021-10-17 - 2021-10-23,30-39,89107,476.0,43.0,302.0,14.0,36.0
2021-10-17 - 2021-10-23,40-49,77932,343.0,21.0,218.0,7.0,16.0
2021-10-17 - 2021-10-23,50-59,54602,141.0,10.0,90.0,<5,9.0
2021-10-17 - 2021-10-23,60-69,39401,100.0,<5,57.0,0.0,<5
2021-10-17 - 2021-10-23,70-79,21741,58.0,<5,35.0,<5,<5
2021-10-17 - 2021-10-23,80+,13618,32.0,<5,21.0,0.0,0.0
2021-10-24 - 2021-10-30,0-19,189696,128.0,41.0,2568.0,<5,38.0
2021-10-24 - 2021-10-30,20-29,77354,179.0,21.0,210.0,<5,13.0
2021-10-24 - 2021-10-30,30-39,82497,290.0,22.0,221.0,<5,18.0
2021-10-24 - 2021-10-30,40-49,73093,226.0,12.0,191.0,<5,8.0
2021-10-24 - 2021-10-30,50-59,53910,97.0,5.0,82.0,<5,0.0
2021-10-24 - 2021-10-30,60-69,39427,68.0,<5,49.0,<5,<5
2021-10-24 - 2021-10-30,70-79,21706,39.0,0.0,25.0,<5,0.0
2021-10-24 - 2021-10-30,80+,13398,18.0,<5,14.0,<5,0.0
2021-10-31 - 2021-11-06,0-19,171563,88.0,26.0,1929.0,<5,32.0
2021-10-31 - 2021-11-06,20-29,71525,148.0,21.0,204.0,<5,11.0
2021-10-31 - 2021-11-06,30-39,78386,221.0,23.0,218.0,<5,14.0
2021-10-31 - 2021-11-06,40-49,70090,184.0,22.0,159.0,6.0,5.0
2021-10-31 - 2021-11-06,50-59,51861,68.0,6.0,89.0,<5,5.0
2021-10-31 - 2021-11-06,60-69,37965,48.0,6.0,40.0,<5,<5
2021-10-31 - 2021-11-06,70-79,20054,40.0,0.0,24.0,0.0,0.0
2021-10-31 - 2021-11-06,80+,12002,19.0,<5,10.0,0.0,<5
